name,zip
103 ST-CORONA,11368
104 ST,11418
138/GRAND CONC,10451
149/GRAND CONC,10451
14TH STREET,10011
21 ST-QNSBRIDGE,11101
25 AV,11232
30 AV,11102
34 ST-HERALD SQ,10001
34 ST-HUDSON YD,10001
34 ST-PENN STA,10119
36 AV,11106
4 AV-9 ST,11215
40 ST LOWERY ST,11104
42 ST-BRYANT PK,10018
42 ST-PORT AUTH,10036
46 ST BLISS ST,11104
47-50 STS ROCK,10020
4AV-9 ST,11215
5 AV/53 ST,10022
5 AV/59 ST,10023
52 ST,11377
57 ST-7 AV,10019
69 ST,11377
72 ST-2 AVE,10021
74 ST-BROADWAY,11372
75 AV,11375
75 ST-ELDERTS,11421
8 ST-NYU,10003
80 ST,11417
81 ST-MUSEUM,10024
82 ST-JACKSON H,11372
85 ST-FOREST PK,11421
86 ST-2 AVE,10028
88 ST,11417
90 ST-ELMHURST,11372
96 ST-2 AVE,10029
9TH STREET,10011
BAY RIDGE-95 ST,11209
BEVERLY RD,11226
CENTRAL PK N110,10026
CONEY IS-STILLW,11224
COURT SQ,11101
COURT SQ-23 ST,11101
CROWN HTS-UTICA,11213
EXCHANGE PLACE,7302
GRD CNTRL-42 ST,10017
GROVE STREET,7302
HARRISON,10528
JAMAICA CENTER,11435
JAY ST-METROTEC,11201
JFK JAMAICA CT1,11418
JOURNAL SQUARE,7306
LACKAWANNA,7030
LEXINGTON AV/53,10022
MYRTLE AV,11206
NEW LOTS,11208
OZONE PK LEFFRT,11419
PAVONIA/NEWPORT,7310
RIT-ROOSEVELT,10022
SUTTER AV,11207
TOMPKINSVILLE,10301
WEST FARMS SQ,10460
111 ST,11419
14 ST-UNION SQ,10003
168 ST,10032
59 ST COLUMBUS,10023
BOROUGH HALL,11201
BEDFORD PK BLVD,10468
CORTLANDT ST,10280
DELANCEY/ESSEX,10002
DYCKMAN ST,10034
NEWKIRK PLAZA,11226
CHRISTOPHER ST,10014
TIMES SQ-42 ST,10036
TWENTY THIRD ST,10010
THIRTY THIRD ST,10016
ST. GEORGE,10301
VAN SICLEN AV,11207
PATH NEW WTC,10007
86 ST,10028
96 ST,10025
