,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,BMT,Brighton,Av H,40.62927,-73.961639,B,Q,,,,,,,,,11230
1,IND,Rockaway,Beach 36th St,40.595398,-73.768175,A,,,,,,,,,,11691
2,IRT,Dyre Av,Morris Park,40.854364,-73.860495,5,,,,,,,,,,10462
3,IRT,Broadway-7th Ave,South Ferry,40.702068,-74.013664,R,1,,,,,,,,,10004
4,BMT,Canarsie,Halsey St,40.695602,-73.904084,L,,,,,,,,,,11385
5,IND,Queens Boulevard,75th Av,40.718331,-73.837324,E,F,,,,,,,,,11375
6,IND,6 Avenue,Carroll St,40.680303,-73.995048,F,G,,,,,,,,,11231
7,BMT,Canarsie,Union Square,40.734789,-73.99073,L,N,Q,R,4,5,6,,,,10003
8,BMT,Broadway Jamaica,Cleveland St,40.679947,-73.884639,J,,,,,,,,,,11208
9,IRT,Broadway-7th Ave,72nd St,40.778453,-73.98197,1,2,3,,,,,,,,10023
10,IND,8 Avenue,High St,40.699337,-73.990531,A,C,J,Z,2,3,4,5,,,11201
11,IRT,Lexington,110th St,40.79502,-73.94425,6,,,,,,,,,,10029
12,BMT,Broadway Jamaica,Woodhaven Blvd,40.693879,-73.851576,J,Z,,,,,,,,,11421
13,IRT,Flushing,Queensboro Plaza,40.750582,-73.940202,N,Q,7,,,,,,,,11101
14,BMT,Myrtle,Central Av,40.697857,-73.927397,M,,,,,,,,,,11221
15,BMT,Broadway,Cortlandt St,40.710668,-74.011029,R,,,,,,,,,,10007
16,IRT,Flushing,Lincoln Av-52nd St,40.744149,-73.912549,7,,,,,,,,,,11377
17,BMT,4 Avenue,53rd St,40.645069,-74.014034,R,,,,,,,,,,11220
18,BMT,Broadway Jamaica,Alabama Av,40.676992,-73.898654,J,,,,,,,,,,11207
19,IND,8 Avenue,125th St,40.811109,-73.952343,A,B,C,D,,,,,,,10027
20,BMT,4 Avenue,25th St,40.660397,-73.998091,R,,,,,,,,,,11232
21,IND,Concourse,155th St,40.830135,-73.938209,B,D,,,,,,,,,10039
22,IRT,Broadway-7th Ave,Franklin St,40.719318,-74.006886,1,,,,,,,,,,10013
23,IND,6 Avenue,42nd St,40.754222,-73.984569,B,D,F,M,7,,,,,,10036
24,IRT,Nostrand,Sterling St,40.662742,-73.95085,2,5,,,,,,,,,11225
25,IRT,Lexington,103rd St,40.7906,-73.947478,6,,,,,,,,,,10029
26,IND,Fulton,Utica Av,40.679364,-73.930729,A,C,,,,,,,,,11233
27,IRT,42nd St Shuttle,Grand Central,40.752769,-73.979189,GS,4,5,6,7,,,,,,10017
28,BMT,Brighton,Cortelyou Rd,40.640927,-73.963891,B,Q,,,,,,,,,11226
29,BMT,4 Avenue,95th St,40.616622,-74.030876,R,,,,,,,,,,11209
30,IRT,Pelham,Longwood Av,40.816104,-73.896435,6,,,,,,,,,,10455
31,IRT,Clark,Park Place,40.713051,-74.008811,A,C,E,1,2,3,,,,,10007
32,BMT,Canarsie,Livonia Av,40.664038,-73.900571,L,,,,,,,,,,11212
33,BMT,Brighton,Sheepshead Bay,40.586896,-73.954155,B,Q,,,,,,,,,11235
34,BMT,4 Avenue,9th St,40.670847,-73.988302,F,G,R,,,,,,,,11215
35,IRT,Nostrand,Church Av,40.650843,-73.949575,2,5,,,,,,,,,11226
36,IRT,Jerome,170th St,40.840075,-73.917791,4,,,,,,,,,,10452
37,IRT,Pelham,138th St-3rd Ave,40.810476,-73.926138,6,,,,,,,,,,10454
38,BMT,Canarsie,Graham Av,40.714565,-73.944053,L,,,,,,,,,,11211
39,IND,Crosstown,Myrtle-Willoughby Avs,40.694568,-73.949046,G,,,,,,,,,,11206
40,IND,Queens Boulevard,63rd Drive-Rego Park,40.729846,-73.861604,M,R,,,,,,,,,11374
41,IND,Fulton,Nostrand Av,40.680438,-73.950426,A,C,,,,,,,,,11216
42,IRT,Jerome,Mosholu Parkway,40.87975,-73.884655,4,,,,,,,,,,10467
43,IND,Fulton,Ralph Av,40.678822,-73.920786,A,C,,,,,,,,,11233
44,IRT,Lexington,116th St,40.798629,-73.941617,6,,,,,,,,,,10029
45,BMT,Broadway,Lexington Av,40.76266,-73.967258,N,Q,R,4,5,6,,,,,10022
46,IRT,Dyre Av,Gun Hill Rd,40.869526,-73.846384,5,,,,,,,,,,10469
47,IRT,Pelham,Buhre Av,40.84681,-73.832569,6,,,,,,,,,,10461
48,IRT,New Lots,Sutter Av,40.664717,-73.92261,3,,,,,,,,,,11212
49,IRT,Flushing,45 Rd-Court House Sq,40.747023,-73.945264,E,G,M,7,,,,,,,11101
50,BMT,Myrtle,Seneca Av,40.702762,-73.90774,M,,,,,,,,,,11385
51,IRT,Nostrand,Winthrop St,40.656652,-73.9502,2,5,,,,,,,,,11225
52,BMT,Broadway,Prince St,40.724329,-73.997702,N,R,,,,,,,,,10012
53,IND,8 Avenue,72nd St,40.775594,-73.97641,B,C,,,,,,,,,10023
54,BMT,Sea Beach,Kings Highway,40.603923,-73.980353,N,,,,,,,,,,11223
55,BMT,Brighton,Parkside Av,40.655292,-73.961495,B,Q,,,,,,,,,11226
56,BMT,West End,55th St,40.631435,-73.995476,D,,,,,,,,,,11219
57,IRT,Lexington,14th St-Union Square,40.734673,-73.989951,L,N,Q,R,4,5,6,,,,10003
58,BMT,Broadway Jamaica,Cypress Hills,40.689941,-73.87255,J,,,,,,,,,,11208
59,IND,Queens Boulevard,Sutphin Blvd,40.70546,-73.810708,F,,,,,,,,,,11435
60,BMT,Broadway Jamaica,104th St-102nd St,40.695178,-73.84433,J,Z,,,,,,,,,11418
61,IND,Fulton,Rockaway Av,40.67834,-73.911946,A,C,,,,,,,,,11233
62,BMT,West End,Fort Hamilton Parkway,40.640914,-73.994304,D,,,,,,,,,,11219
63,IND,Queens Boulevard,5th Av-53rd St,40.760167,-73.975224,E,M,,,,,,,,,10022
64,BMT,Sea Beach,86th St,40.592721,-73.97823,N,,,,,,,,,,11223
65,IND,Queens Boulevard,Woodhaven Blvd,40.733106,-73.869229,M,R,,,,,,,,,11374
66,BMT,Astoria,30 Av-Grand Av,40.766779,-73.921479,N,Q,,,,,,,,,11102
67,IRT,Eastern Parkway,Grand Army Plaza,40.675235,-73.971046,2,3,,,,,,,,,11238
68,IND,63rd Street,Roosevelt Island,40.759145,-73.95326,F,,,,,,,,,,10044
69,BMT,Broadway Jamaica,Flushing Av,40.70026,-73.941126,J,M,,,,,,,,,11206
70,IRT,White Plains Road,Freeman St,40.829993,-73.891865,2,5,,,,,,,,,10459
71,BMT,Broadway Jamaica,Crescent St,40.683194,-73.873785,J,Z,,,,,,,,,11208
72,IRT,Lexington,Bowling Green,40.704817,-74.014065,4,5,,,,,,,,,10004
73,BMT,Broadway Jamaica,Norwood Av,40.68141,-73.880039,J,Z,,,,,,,,,11208
74,IRT,Lexington,Spring St,40.722301,-73.997141,6,,,,,,,,,,10012
75,BMT,Brighton,Kings Highway,40.60867,-73.957734,B,Q,,,,,,,,,11229
76,IRT,Lexington,Borough Hall,40.692404,-73.990151,R,2,3,4,5,,,,,,11201
77,IND,8 Avenue,163rd St - Amsterdam Av,40.836013,-73.939892,C,,,,,,,,,,10032
78,IND,Crosstown,21st St,40.744065,-73.949724,G,,,,,,,,,,11101
79,IND,Culver,Av N,40.61514,-73.974197,F,,,,,,,,,,11230
80,IND,Fulton,Van Siclen Av,40.67271,-73.890358,A,C,,,,,,,,,11207
81,IRT,Pelham,Brook Av,40.807566,-73.91924,6,,,,,,,,,,10454
82,IRT,Lenox,Harlem-148th St,40.82388,-73.93647,3,,,,,,,,,,10039
83,BMT,Broadway Jamaica,Myrtle Av,40.697207,-73.935657,J,M,Z,,,,,,,,11206
84,BMT,Astoria,Broadway,40.76182,-73.925508,N,Q,,,,,,,,,11106
85,IND,Culver,Kings Highway,40.603217,-73.972361,F,,,,,,,,,,11223
86,BMT,Sea Beach,18th Av,40.620671,-73.990414,N,,,,,,,,,,11204
87,IND,Concourse,Tremont Av,40.85041,-73.905227,B,D,,,,,,,,,10453
88,BMT,4 Avenue,36th St,40.655144,-74.003549,N,R,,,,,,,,,11232
89,IRT,Broadway-7th Ave,50th St,40.761728,-73.983849,1,,,,,,,,,,10019
90,IRT,Dyre Av,Eastchester-Dyre Av,40.8883,-73.830834,5,,,,,,,,,,10466
91,IRT,Broadway-7th Ave,59th St-Columbus Circle,40.768247,-73.981929,A,B,C,D,1,,,,,,10019
92,BMT,Broadway Jamaica,Hewes St,40.70687,-73.953431,J,M,,,,,,,,,11211
93,BMT,Brighton,Church Av,40.650527,-73.962982,B,Q,,,,,,,,,11226
94,IRT,White Plains Road,Simpson St,40.824073,-73.893064,2,5,,,,,,,,,10459
95,IND,8 Avenue,Spring St,40.726227,-74.003739,C,E,,,,,,,,,10013
96,IND,Queens Boulevard,23rd St-Ely Av,40.747846,-73.946,E,G,M,7,,,,,,,11101
97,IRT,Lexington,96th St,40.785672,-73.95107,6,,,,,,,,,,
98,IND,Culver,Av X,40.58962,-73.97425,F,,,,,,,,,,11223
99,IND,6 Avenue,York St,40.699743,-73.986885,F,,,,,,,,,,11201
100,IND,8 Avenue,Chambers St,40.714111,-74.008585,A,C,E,2,3,,,,,,10007
101,IND,Rockaway,Beach 105th St,40.583209,-73.827559,H,,,,,,,,,,11694
102,IND,Liberty,Grant Av,40.677044,-73.86505,A,,,,,,,,,,11208
103,BMT,Broadway,Lawrence St,40.69218,-73.985942,A,C,F,R,,,,,,,11201
104,IRT,Lexington,Brooklyn Bridge-City Hall,40.711857,-74.005114,J,Z,4,5,6,,,,,,10013
105,IRT,Pelham,Middletown Rd,40.843863,-73.836322,6,,,,,,,,,,10461
106,IRT,White Plains Road,Intervale Av,40.822181,-73.896736,2,5,,,,,,,,,10459
107,IND,6 Avenue,47-50th Sts Rockefeller Center,40.758663,-73.981329,B,D,F,M,7,,,,,,10020
108,IRT,Broadway-7th Ave,28th St,40.747215,-73.993365,1,,,,,,,,,,10001
109,IND,8 Avenue,116th St,40.805085,-73.954882,B,C,,,,,,,,,10026
